id,rank,name,symbol,slug,is_active,first_historical_data,last_historical_data
1720,102,IOTA,IOTA,iota,1,13/06/2017,26/04/2024
4269,103,GateToken,GT,gatetoken,1,26/08/2019,26/04/2024
19891,104,USDD,USDD,usdd,1,02/05/2022,26/04/2024
7186,105,PancakeSwap,CAKE,pancakeswap,1,28/09/2020,26/04/2024
9104,106,AIOZ Network,AIOZ,aioz-network,1,02/04/2021,26/04/2024
4256,107,Klaytn,KLAY,klaytn,1,30/03/2020,26/04/2024
2694,108,Nexo,NEXO,nexo,1,01/05/2018,26/04/2024
5665,109,Helium,HNT,helium,1,08/06/2020,26/04/2024
17799,110,Axelar,AXL,axelar,1,27/09/2022,26/04/2024
7653,111,Oasis Network,ROSE,oasis-network,1,18/11/2020,26/04/2024
23711,112,Echelon Prime,PRIME,echelon-prime,1,01/03/2023,26/04/2024
4172,113,Terra Classic,LUNC,terra-luna,1,26/07/2019,26/04/2024
28683,114,SATS,1000SATS,sats,1,12/12/2023,26/04/2024
12220,115,Osmosis,OSMO,osmosis,1,04/10/2021,26/04/2024
23121,116,Blur,BLUR,blur-token,1,13/02/2023,26/04/2024
11156,117,dYdX (ethDYDX),ETHDYDX,dydx-ethdydx,1,08/09/2021,26/04/2024
7548,118,WEMIX,WEMIX,wemix,1,28/10/2020,26/04/2024
2083,119,Bitcoin Gold,BTG,bitcoin-gold,1,23/10/2017,26/04/2024
12885,120,Astar,ASTR,astar,1,18/01/2022,26/04/2024
7501,121,WOO,WOO,wootrade,1,28/10/2020,26/04/2024
29870,122,BOOK OF MEME,BOME,book-of-meme,1,14/03/2024,26/04/2024
12387,123,Ribbon Finance,RBN,ribbon-finance,1,07/10/2021,26/04/2024
2777,124,IoTeX,IOTX,iotex,1,25/05/2018,26/04/2024
5176,125,Tether Gold,XAUt,tether-gold,1,07/02/2020,26/04/2024
6536,126,MANTRA,OM,mantra,1,18/08/2020,26/04/2024
2634,127,XDC Network,XDC,xdc-network,1,13/04/2018,26/04/2024
11948,128,Radix,XRD,radix-protocol,1,17/09/2021,26/04/2024
3911,129,Ocean Protocol,OCEAN,ocean-protocol,1,06/05/2019,26/04/2024
6538,130,Curve DAO Token,CRV,curve-dao-token,1,14/08/2020,26/04/2024
3783,131,Ankr,ANKR,ankr,1,06/03/2019,26/04/2024
30126,132,cat in a dogs world,MEW,mew,1,26/03/2024,26/04/2024
28932,133,Dymension,DYM,dymension,1,29/01/2024,26/04/2024
2563,134,TrueUSD,TUSD,trueusd,1,06/03/2018,26/04/2024
8104,135,1inch Network,1INCH,1inch,1,24/12/2020,26/04/2024
4195,136,FTX Token,FTT,ftx-token,1,31/07/2019,26/04/2024
5691,137,SKALE,SKL,skale-network,1,29/11/2020,26/04/2024
4041,138,MX TOKEN,MX,mx-token,1,24/09/2019,26/04/2024
9816,139,APENFT,NFT,apenft,1,21/05/2021,26/04/2024
18069,140,GMT,GMT,green-metaverse-token,1,09/03/2022,26/04/2024
8290,141,SuperVerse,SUPER,superfarm,1,22/02/2021,26/04/2024
3640,142,Livepeer,LPT,livepeer,1,19/12/2018,26/04/2024
2130,143,Enjin Coin,ENJ,enjin-coin,1,01/11/2017,26/04/2024
7326,144,DeXe,DEXE,dexe,1,06/10/2020,26/04/2024
2577,145,Ravencoin,RVN,ravencoin,1,10/03/2018,26/04/2024
13855,146,Ethereum Name Service,ENS,ethereum-name-service,1,09/11/2021,26/04/2024
20314,147,Terra,LUNA,terra-luna-v2,1,28/05/2022,26/04/2024
5692,148,Compound,COMP,compound,1,16/06/2020,26/04/2024
11877,149,Galxe,GAL,galxe,1,05/05/2022,26/04/2024
12999,150,ssv.network,SSV,ssv-network,1,22/10/2021,26/04/2024
5964,151,Trust Wallet Token,TWT,trust-wallet-token,1,30/07/2020,26/04/2024
13631,152,Manta Network,MANTA,manta-network,1,18/01/2024,26/04/2024
2469,153,Zilliqa,ZIL,zilliqa,1,25/01/2018,26/04/2024
2682,154,Holo,HOT,holo,1,30/04/2018,26/04/2024
5567,155,Celo,CELO,celo,1,22/05/2020,26/04/2024
27565,156,Arkham,ARKM,arkham,1,18/07/2023,26/04/2024
1896,157,0x Protocol,ZRX,0x,1,16/08/2017,26/04/2024
2943,158,Rocket Pool,RPL,rocket-pool,1,18/07/2018,26/04/2024
2299,159,aelf,ELF,aelf,1,21/12/2017,26/04/2024
4705,160,PAX Gold,PAXG,pax-gold,1,26/09/2019,26/04/2024
8526,161,Raydium,RAY,raydium,1,21/02/2021,26/04/2024
1042,162,Siacoin,SC,siacoin,1,26/08/2015,26/04/2024
1684,163,Qtum,QTUM,qtum,1,24/05/2017,26/04/2024
29073,164,Altlayer,ALT,altlayer,1,25/01/2024,26/04/2024
21296,165,EthereumPoW,ETHW,ethereum-pow,1,08/08/2022,26/04/2024
29814,166,ether.fi,ETHFI,ether-fi-ethfi,1,18/03/2024,26/04/2024
21846,167,SPACE ID,ID,space-id,1,22/03/2023,26/04/2024
1455,168,Golem,GLM,golem-network-tokens,1,18/11/2016,26/04/2024
28541,169,Jito,JTO,jito,1,07/12/2023,26/04/2024
1697,170,Basic Attention Token,BAT,basic-attention-token,1,01/06/2017,26/04/2024
8119,171,SafePal,SFP,safepal,1,08/02/2021,26/04/2024
2467,172,OriginTrail,TRAC,origintrail,1,25/01/2018,26/04/2024
1437,173,Zcash,ZEC,zcash,1,29/10/2016,26/04/2024
5899,174,Casper,CSPR,casper,1,11/05/2021,26/04/2024
1785,175,Gas,GAS,gas,1,06/07/2017,26/04/2024
8719,176,Illuvium,ILV,illuvium,1,31/03/2021,26/04/2024
1934,177,Loopring,LRC,loopring,1,30/08/2017,26/04/2024
131,178,Dash,DASH,dash,1,14/02/2014,26/04/2024
9640,179,Metis,METIS,metisdao,1,13/05/2021,26/04/2024
9543,180,Biconomy,BICO,biconomy,1,01/12/2021,26/04/2024
6953,181,Frax Share,FXS,frax-share,1,26/12/2020,26/04/2024
23635,182,BinaryX,BNX,binaryx-new,1,23/02/2023,26/04/2024
28301,183,Memecoin,MEME,meme,1,03/11/2023,26/04/2024
1680,184,Aragon,ANT,aragon,1,18/05/2017,26/04/2024
1168,185,Decred,DCR,decred,1,10/02/2016,26/04/2024
873,186,NEM,XEM,nem,1,01/04/2015,26/04/2024
29335,187,Pixels,PIXEL,pixels,1,19/02/2024,26/04/2024
30372,188,Saga,SAGA,saga,1,09/04/2024,26/04/2024
20362,189,Polymesh,POLYX,polymesh,1,30/05/2022,26/04/2024
6748,190,Centrifuge,CFG,centrifuge,1,14/07/2021,26/04/2024
17751,191,Threshold,T,threshold,1,10/02/2022,26/04/2024
5488,192,JUST,JST,just,1,07/05/2020,26/04/2024
8536,193,Mask Network,MASK,mask-network,1,23/02/2021,26/04/2024
2566,194,Ontology,ONT,ontology,1,08/03/2018,26/04/2024
10688,195,Yield Guild Games,YGG,yield-guild-games,1,28/07/2021,26/04/2024
3029,196,Flux,FLUX,zel,1,02/08/2018,26/04/2024
6945,197,Amp,AMP,amp,1,11/09/2020,26/04/2024
3964,198,Reserve Rights,RSR,reserve-rights,1,24/05/2019,26/04/2024
9258,199,Chia,XCH,chia-network,1,03/05/2021,26/04/2024
10407,200,Baby Doge Coin,BabyDoge,baby-doge-coin,1,11/06/2021,26/04/2024
8085,201,Lido Staked ETH,stETH,steth,1,23/12/2020,26/04/2024
18579,202,Wrapped TRON,WTRX,wrapped-tron,1,05/03/2022,26/04/2024
3717,203,Wrapped Bitcoin,WBTC,wrapped-bitcoin,1,30/01/2019,26/04/2024
24399,204,Wrapped HBAR,WHBAR,wrapped-hedera,1,04/05/2023,26/04/2024
4023,205,Bitcoin BEP2,BTCB,bitcoin-bep2,1,18/06/2019,26/04/2024
29520,206,Renzo Restaked ETH,EZETH,renzo-restaked-eth,1,23/02/2024,26/04/2024
24760,207,Wrapped Beacon ETH,WBETH,wrapped-beacon-eth,1,27/04/2023,26/04/2024
28695,208,Wrapped eETH,weETH,wrapped-eeth,1,13/12/2023,26/04/2024
29470,209,Ethena USDe,USDe,ethena-usde,1,20/02/2024,26/04/2024
15060,210,Rocket Pool ETH,RETH,rocket-pool-eth,1,23/11/2021,26/04/2024
27765,211,Zeebu,ZBU,zeebu,1,09/08/2023,26/04/2024
7961,212,Venus BNB,vBNB,venus-bnb,1,09/11/2023,26/04/2024
7192,213,Wrapped BNB,WBNB,wbnb,1,28/09/2020,26/04/2024
11461,214,Marinade Staked SOL,MSOL,marinade,1,12/10/2021,26/04/2024
23054,215,Cheelee,CHEEL,cheelee,1,13/02/2023,26/04/2024
21535,216,Coinbase Wrapped Staked ETH,cbETH,coinbase-wrapped-staked-eth,1,24/08/2022,26/04/2024
6952,217,Frax,FRAX,frax,1,26/12/2020,26/04/2024
29270,218,Aerodrome Finance,AERO,aerodrome-finance,1,02/02/2024,26/04/2024
22615,219,Fasttoken,FTN,fasttoken,1,20/01/2023,26/04/2024
28782,220,Popcat (SOL),POPCAT,popcat-sol,1,20/12/2023,26/04/2024
17520,221,Orbler,ORBR,orbler,1,01/03/2022,26/04/2024
15271,222,Rollbit Coin,RLB,rollbit-coin,1,23/03/2022,26/04/2024
29743,223,Brett,BRETT,based-brett,1,11/03/2024,26/04/2024
30096,224,Degen,DEGEN,degen-base,1,25/03/2024,26/04/2024
22059,225,Venom,VENOM,venom,1,25/03/2024,26/04/2024
24165,226,Wrapped Kava,WKAVA,wrapped-kava,1,30/03/2023,26/04/2024
29599,227,USDB,USDB,usdb,1,01/03/2024,26/04/2024
5015,228,HEX,HEX,hex,1,17/12/2019,26/04/2024
21259,229,ZetaChain,ZETA,zetachain,1,01/02/2024,26/04/2024
15585,230,GuildFi,GF,guildfi,1,05/12/2021,26/04/2024
27772,231,PayPal USD,PYUSD,paypal-usd,1,20/08/2023,26/04/2024
1974,232,Propy,PRO,propy,1,19/09/2017,26/04/2024
3945,233,Harmony,ONE,harmony,1,01/06/2019,26/04/2024
6958,234,Alchemy Pay,ACH,alchemy-pay,1,09/09/2020,26/04/2024
30484,235,PUPS (Ordinals),PUPS,pups-ordinals,1,09/04/2024,26/04/2024
6836,236,Moonbeam,GLMR,moonbeam,1,11/01/2022,26/04/2024
1274,237,Waves,WAVES,waves,1,02/06/2016,26/04/2024
6941,238,Huobi BTC,HBTC,huobi-btc,1,09/09/2020,26/04/2024
3012,239,VeThor Token,VTHO,vethor-token,1,30/07/2018,26/04/2024
2394,240,Telcoin,TEL,telcoin,1,15/01/2018,26/04/2024
3978,241,Chromia,CHR,chromia,1,28/05/2019,26/04/2024
27178,242,PAAL AI,PAAL,paal-ai,1,23/06/2023,26/04/2024
11857,243,GMX,GMX,gmx,1,13/09/2021,26/04/2024
28367,244,IPVERSE,IPV,ipverse-eth,1,07/11/2023,26/04/2024
11823,245,Pocket Network,POKT,pocket-network,1,13/01/2022,26/04/2024
5034,246,Kusama,KSM,kusama,1,12/12/2019,26/04/2024
27659,247,MOG Coin,MOG,mog-coin,1,21/07/2023,26/04/2024
5647,248,Kadena,KDA,kadena,1,31/05/2020,26/04/2024
9903,249,Convex Finance,CVX,convex-finance,1,18/05/2021,26/04/2024
15185,250,Kujira,KUJI,kujira,1,29/11/2021,26/04/2024
6758,251,SushiSwap,SUSHI,sushiswap,1,28/08/2020,26/04/2024
2099,252,ICON,ICX,icon,1,27/10/2017,26/04/2024
9025,253,Tribe,TRIBE,tribe,1,03/04/2021,26/04/2024
10442,254,Decentralized Social,DESO,deso,1,16/06/2021,26/04/2024
