"id","rank","name","symbol","slug","is_active","first_historical_data","last_historical_data"
1697,170,"Basic Attention Token","BAT","basic-attention-token",1,2017-06-01,2024-04-26
8119,171,"SafePal","SFP","safepal",1,2021-02-08,2024-04-26
2467,172,"OriginTrail","TRAC","origintrail",1,2018-01-25,2024-04-26
1437,173,"Zcash","ZEC","zcash",1,2016-10-29,2024-04-26
5899,174,"Casper","CSPR","casper",1,2021-05-11,2024-04-26
1785,175,"Gas","GAS","gas",1,2017-07-06,2024-04-26
8719,176,"Illuvium","ILV","illuvium",1,2021-03-31,2024-04-26
1934,177,"Loopring","LRC","loopring",1,2017-08-30,2024-04-26
131,178,"Dash","DASH","dash",1,2014-02-14,2024-04-26
9640,179,"Metis","METIS","metisdao",1,2021-05-13,2024-04-26
9543,180,"Biconomy","BICO","biconomy",1,2021-12-01,2024-04-26
6953,181,"Frax Share","FXS","frax-share",1,2020-12-26,2024-04-26
23635,182,"BinaryX","BNX","binaryx-new",1,2023-02-23,2024-04-26
28301,183,"Memecoin","MEME","meme",1,2023-11-03,2024-04-26
1680,184,"Aragon","ANT","aragon",1,2017-05-18,2024-04-26
1168,185,"Decred","DCR","decred",1,2016-02-10,2024-04-26
873,186,"NEM","XEM","nem",1,2015-04-01,2024-04-26
29335,187,"Pixels","PIXEL","pixels",1,2024-02-19,2024-04-26
30372,188,"Saga","SAGA","saga",1,2024-04-09,2024-04-26
20362,189,"Polymesh","POLYX","polymesh",1,2022-05-30,2024-04-26
6748,190,"Centrifuge","CFG","centrifuge",1,2021-07-14,2024-04-26
17751,191,"Threshold","T","threshold",1,2022-02-10,2024-04-26
5488,192,"JUST","JST","just",1,2020-05-07,2024-04-26
8536,193,"Mask Network","MASK","mask-network",1,2021-02-23,2024-04-26
2566,194,"Ontology","ONT","ontology",1,2018-03-08,2024-04-26
10688,195,"Yield Guild Games","YGG","yield-guild-games",1,2021-07-28,2024-04-26
3029,196,"Flux","FLUX","zel",1,2018-08-02,2024-04-26
6945,197,"Amp","AMP","amp",1,2020-09-11,2024-04-26
3964,198,"Reserve Rights","RSR","reserve-rights",1,2019-05-24,2024-04-26
9258,199,"Chia","XCH","chia-network",1,2021-05-03,2024-04-26
10407,200,"Baby Doge Coin","BabyDoge","baby-doge-coin",1,2021-06-11,2024-04-26
8085,201,"Lido Staked ETH","stETH","steth",1,2020-12-23,2024-04-26
18579,202,"Wrapped TRON","WTRX","wrapped-tron",1,2022-03-05,2024-04-26
3717,203,"Wrapped Bitcoin","WBTC","wrapped-bitcoin",1,2019-01-30,2024-04-26
24399,204,"Wrapped HBAR","WHBAR","wrapped-hedera",1,2023-05-04,2024-04-26
4023,205,"Bitcoin BEP2","BTCB","bitcoin-bep2",1,2019-06-18,2024-04-26
29520,206,"Renzo Restaked ETH","EZETH","renzo-restaked-eth",1,2024-02-23,2024-04-26
24760,207,"Wrapped Beacon ETH","WBETH","wrapped-beacon-eth",1,2023-04-27,2024-04-26
28695,208,"Wrapped eETH","weETH","wrapped-eeth",1,2023-12-13,2024-04-26
29470,209,"Ethena USDe","USDe","ethena-usde",1,2024-02-20,2024-04-26
15060,210,"Rocket Pool ETH","RETH","rocket-pool-eth",1,2021-11-23,2024-04-26
27765,211,"Zeebu","ZBU","zeebu",1,2023-08-09,2024-04-26
7961,212,"Venus BNB","vBNB","venus-bnb",1,2023-11-09,2024-04-26
7192,213,"Wrapped BNB","WBNB","wbnb",1,2020-09-28,2024-04-26
11461,214,"Marinade Staked SOL","MSOL","marinade",1,2021-10-12,2024-04-26
23054,215,"Cheelee","CHEEL","cheelee",1,2023-02-13,2024-04-26
21535,216,"Coinbase Wrapped Staked ETH","cbETH","coinbase-wrapped-staked-eth",1,2022-08-24,2024-04-26
6952,217,"Frax","FRAX","frax",1,2020-12-26,2024-04-26
29270,218,"Aerodrome Finance","AERO","aerodrome-finance",1,2024-02-02,2024-04-26
22615,219,"Fasttoken","FTN","fasttoken",1,2023-01-20,2024-04-26
